size_sqmeters,decorated,no_rooms,price,type_of_building,market,district,floor_no,line_distance,price_per_sqmet
85,Tak,4,760 000,APARTAMENTOWIEC,wtórny,Bemowo,1,7.5055701754,8941.1764706
18,Unknown,1,217 000,OTHER,pierwotny,Wola,,3.2087809839,12055.555556
65,Tak,3,845 000,APARTAMENTOWIEC,wtórny,Żoliborz,3,4.6535095185,13000
47,Tak,2,550 000,BLOK,wtórny,Mokotów,2,3.1079532115,11702.12766
60,Tak,3,725 000,APARTAMENTOWIEC,wtórny,Wola,8,3.6757425565,12083.333333
101,Nie,3,930 000,BLOK,pierwotny,Wilanów,1,8.3361112752,9207.9207921
29,Unknown,2,223 000,OTHER,pierwotny,Białołęka,1,12.968168599,7689.6551724
48,Tak,3,469 000,BLOK,wtórny,Wola,7,2.1331727272,9770.8333333
73,Tak,3,850 000,APARTAMENTOWIEC,wtórny,Mokotów,2,6.735070499,11643.835616
153,Tak,4,799 000,OTHER,wtórny,Wawer,1,13.366483139,5222.2222222
43,Nie,2,439 000,BLOK,wtórny,Mokotów,2,6.106079877,10209.302326
53,Unknown,2,479 000,OTHER,wtórny,Ursynów,4,12.157908077,9037.7358491
56,Unknown,2,787 000,APARTAMENTOWIEC,wtórny,Śródmieście,0,2.2136325076,14053.571429
77,Unknown,3,745 000,BLOK,wtórny,Wola,2,1.85636853,9675.3246753
20,Tak,2,420 000,KAMIENICA,wtórny,Śródmieście,4,1.3061523922,21000
50,Tak,2,550 000,APARTAMENTOWIEC,wtórny,Wola,5,3.2611122128,11000
91,Tak,3,1 050 000,BLOK,wtórny,Targówek,3,7.6870161911,11538.461538
64,Unknown,3,559 000,BLOK,wtórny,Bemowo,2,7.3446587191,8734.375
60,Tak,3,570 000,BLOK,wtórny,Bemowo,3,6.4101375065,9500
122,Tak,4,1 061 400,APARTAMENTOWIEC,pierwotny,Wawer,1,11.077937539,8700
97,Tak,3,799 000,APARTAMENTOWIEC,wtórny,Wola,6,2.3753923636,8237.1134021
107,Tak,3,1 600 000,KAMIENICA,wtórny,Śródmieście,3,1.7762792807,14953.271028
49,Tak,2,459 000,BLOK,wtórny,Bielany,10,7.7995752286,9367.3469388
19,Unknown,1,215 000,APARTAMENTOWIEC,pierwotny,Wola,,3.3400384409,11315.789474
52,Unknown,2,990 000,KAMIENICA,wtórny,Śródmieście,3,2.0046004784,19038.461538
100,Unknown,4,1 099 000,APARTAMENTOWIEC,wtórny,Praga_Południe,2,6.2817630942,10990
55,Unknown,3,500 000,BLOK,pierwotny,Mokotów,6,3.1436822209,9090.9090909
77,Unknown,3,850 000,APARTAMENTOWIEC,wtórny,Mokotów,4,4.3197022962,11038.961039
19,Unknown,1,215 000,APARTAMENTOWIEC,pierwotny,Wola,,3.3066953548,11315.789474
81,Tak,3,895 000,APARTAMENTOWIEC,wtórny,Wilanów,3,8.9716390188,11049.382716
80,Tak,3,940 000,BLOK,wtórny,Wola,1,4.6989365763,11750
71,Tak,4,589 000,BLOK,wtórny,Ursynów,3,8.8811880862,8295.7746479
75,Unknown,3,780 000,OTHER,wtórny,Praga_Południe,3,4.5441675042,10400
116,Tak,4,660 000,BLOK,wtórny,Białołęka,2,10.756136141,5689.6551724
50,Tak,2,385 000,BLOK,wtórny,Białołęka,3,11.421036617,7700
51,Tak,2,639 000,APARTAMENTOWIEC,wtórny,Mokotów,4,6.2707730465,12529.411765
65,Tak,2,549 999,BLOK,wtórny,Bemowo,5,5.8444595175,8461.5230769
46,Tak,3,495 000,BLOK,wtórny,Wola,3,3.0603489574,10760.869565
160,Unknown,4,1 550 000,APARTAMENTOWIEC,wtórny,Śródmieście,11,2.8491929254,9687.5
125,Tak,4,950 000,BLOK,wtórny,Ursynów,1,12.368707427,7600
40,Tak,2,425 000,BLOK,wtórny,Śródmieście,10,1.6909236617,10625
